,PROPOSE_DT,BILL_NAME
0,2020-09-11,119구조·구급에 관한 법률 일부개정법률안
1,2020-09-02,가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
2,2020-09-01,가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
3,2020-08-31,공동주택관리법 일부개정법률안
4,2020-08-31,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
5,2020-08-20,고등교육법 일부개정법률안
6,2020-08-12,재난 및 안전관리 기본법 일부개정법률안
7,2020-08-07,고등교육법 일부개정법률안
8,2020-08-07,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
9,2020-08-06,교통약자의 이동편의 증진법 일부개정법률안
10,2020-08-05,공동주택관리법 일부개정법률안
11,2020-08-05,초·중등교육법 일부개정법률안
12,2020-08-04,민원 처리에 관한 법률 일부개정법률안
13,2020-08-04,출입국관리법 일부개정법률안
14,2020-08-04,119구조·구급에 관한 법률 일부개정법률안
15,2020-07-31,초·중등교육법 일부개정법률안
16,2020-07-31,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
17,2020-07-31,부동산소유권 이전등기 등에 관한 특별조치법 일부개정법률안
18,2020-07-24,코로나바이러스감염증-19 위기 극복을 위한 특별조치법안
19,2020-07-21,사립학교법 일부개정법률안
20,2020-07-21,고등교육법 일부개정법률안
21,2020-07-21,국민체육진흥법 일부개정법률안
22,2020-07-21,국민체육진흥법 일부개정법률안
23,2020-07-21,학교체육 진흥법 일부개정법률안
24,2020-07-17,민간임대주택에 관한 특별법 일부개정법률안
25,2020-07-17,국민체육진흥법 일부개정법률안
26,2020-07-17,초·중등교육법 일부개정법률안
27,2020-07-16,국민체육진흥법 일부개정법률안
28,2020-07-16,국민체육진흥법 일부개정법률안
29,2020-07-16,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
30,2020-07-15,여객자동차 운수사업법 일부개정법률안
31,2020-07-14,국민체육진흥법 일부개정법률안
32,2020-07-14,지방세법 일부개정법률안
33,2020-07-14,공동주택관리법 일부개정법률안
34,2020-07-13,건설기술 진흥법 일부개정법률안
35,2020-07-13,건설산업기본법 일부개정법률안
36,2020-07-13,빈집 및 소규모주택 정비에 관한 특례법 일부개정법률안
37,2020-07-10,재건축초과이익 환수에 관한 법률 일부개정법률안
38,2020-07-10,지방세특례제한법 일부개정법률안
39,2020-07-10,종합부동산세법 일부개정법률안
40,2020-07-10,법인세법 일부개정법률안
41,2020-07-10,소득세법 일부개정법률안
42,2020-07-10,국민체육진흥법 일부개정법률안
43,2020-07-10,119구조·구급에 관한 법률 일부개정법률안
44,2020-07-09,국가통합교통체계효율화법 일부개정법률안
45,2020-07-09,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안
46,2020-07-09,중소기업기본법 일부개정법률안
47,2020-07-09,고등교육법 일부개정법률안
48,2020-07-08,출입국관리법 일부개정법률안
49,2020-07-08,국민체육진흥법 일부개정법률안
50,2020-07-08,집행관법 일부개정법률안
51,2020-07-08,전기사업법 일부개정법률안
52,2020-07-08,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
53,2020-07-08,교정공제회법 일부개정법률안
