,PROPOSE_DT,BILL_TEXT
0,2020-09-11,"제안이유 및 주요내용

최근 접촉사고 처리를 이유로 응급환자가 타고 있던 구급차를 막아 세운 차량 탓에 응급환자가 사망하는 사건이 발생하면서 사회적 논란이 커지고 있음.
하지만 현행법상 구조ㆍ구급활동은 위급상황이 발생한 때 구조ㆍ구급대를 현장에 신속하게 출동시켜 인명구조 및 응급처치, 그 밖에 필요한 활동에만 한정하고, 구급차등(응급환자의 이송 등 응급의료의 목적에 이용되는 자동차, 선박 및 항공기 등의 이송수단)을 통한 응급환자 이송에 대해서는 별도 규정이 되어 있지 아니함.
이에, 구조ㆍ구급활동을 방해하여서는 아니 된다는 조항에서 응급환자 이송 방해행위를 처벌할 수 있는 근거가 미약하여, 앞선 사례와 유사한 사건이 재발될 우려가 있음.
이러한 문제점을 보완하기 위해 구조ㆍ구급활동에 구급차등을 통한 응급환자 이송을 구조ㆍ구급활동의 범위 포함하여 방해금지 사항을 보다 구체화하고 국민적 경각심을 높이기 위함(안 제13조제1항)."
1,2020-09-02,"제안이유

잇달아 발생하고 있는 가정폭력 사건으로 가정폭력피해자의 신변보호와 가정폭력행위자에 대한 처벌강화 등 가정폭력 방지를 위한 대책 마련의 목소리가 높아지고 있음.
그런데, 현행법은 가정폭력범죄자에 대하여 재범예방에 필요한 수강명령 등을 병과할 수 없고, 가정폭력현장에 출동하였을 때 가정폭력행위자에 대한 유치장 수감 등의 적극적인 대응이 어려우며, 접근금지 조치 위반 시 형사처벌이 아닌 과태료를 부과하는 등 가정폭력의 예방과 피해자보호에 미흡하다는 지적이 있음.
이에 가정폭력행위자의 재범방지를 위해 유죄판결을 선고받거나 약식명령을 고지받은 자에게 수강명령 또는 가정폭력치료프로그램 이수명령을 병과할 수 있도록 하고, 가정폭력현장에 출동한 사법경찰관의 신속한 대응을 위하여 긴급임시조치로 ‘국가경찰관서의 유치장 또는 구치소에의 유치’를 할 수 있도록 하며, 접근금지 등의 임시조치 위반 시 과태료가 아닌 징역 또는 벌금에 처해질 수 있도록 제재 수단을 강화하는 등 현행 제도의 운영상 나타난 일부 미비점을 개선ㆍ보완하려는 것임.


주요내용

가. 가정폭력범죄에 「형법」의 주거침입죄와 퇴거불응죄 및 「성폭력범죄의 처벌 등에 관한 특례법」의 카메라 등을 이용한 촬영범죄 등을 추가함(안 제2조).
나. 유죄판결을 선고받거나 약식명령을 고지받은 가정폭력행위자에게 수강명령 또는 가정폭력치료프로그램 이수명령을 병과할 수 있도록 하고, 이를 불이행할 경우에는 형사처벌함(안 제3조의2 및 제63조제3항 신설).
다. 응급조치 사항에 현행범인의 체포를 명시하고, 폭력행위 재발 시 피해자보호명령 또는 신변안전조치를 청구할 수 있음을 통보하도록 함(안 제5조).
라. 임시조치 및 긴급임시조치의 신청자에 ‘가정구성원’을 추가함(안 제8조 및 제8조의2).
마. 긴급임시조치로 ‘국가경찰관서의 유치장 또는 구치소에의 유치’를 할 수 있도록 함(안 제8조의2).
바. 임시조치에 ‘상담소등에의 상담위탁’을 추가하고, 상담소등의 장으로 하여금 상담 결과보고서를 판사에게 제출하도록 함(안 제29조).
사. 피해자보호명령에 ‘면접교섭권행사의 제한’을 추가하고, 피해자 보호명령의 기간 및 합산 처분기간을 연장함(안 제55조의2 및 제55조의3).
아. 접근금지 등의 임시조치 위반 시 징역 또는 벌금에 처하도록 함(안 제63조제1항제1호 신설 및 제65조제4호 삭제)."
2,2020-09-01,"제안이유

현행법은 가족폭력의 심각성을 가정 내 문제로 치부하여 방치하지 않고 사회가 적극적으로 개입함으로써 건강한 가정 육성 및 가정의 평화와 안정 회복을 도모하기 위하여 도입되었음.
하지만 2018년 가정폭력 발생건수는 24만 8,660건으로, 하루에 681건의 가정폭력신고가 이어지고 있고, 이는 3년 전인 2015년의 22만 7,630건보다 2만 1,030건 증가하는 등 가정폭력을 근절하기 위한 특단의 대책이 필요하다는 지적이 계속되고 있음.
이에 가정폭력범죄의 범위를 확대하고, 경찰관의 응급조치 유형에 「형사소송법」에 따른 현행범 체포를 규정함으로써 즉각적인 피해자와 가해자의 분리가 이루어지도록 하며, 가정구성원도 임시조치 및 긴급임시조치를 청구할 수 있도록 하고, 그에 따른 조치결과를 피해자 또는 가정구성원에게 즉시 통보하도록 하며, 상담조건부 기소유예제를 폐지함.
아울러 피해자보호명령에 피해자 또는 가정구성원에 대한 면접교섭권 행사를 제한하고, 피해자보호명령의 처분기간 및 총 처분기간을 연장하여 제도의 실효성을 높이려는 것임.
한편, 임시조치 등을 불이행하는 경우 현행법은 과태료를 부과하도록 규정하고 있으나 이를 징역 또는 벌금의 형사처벌을 부과하여 제재 수단을 강화하고, 현행 보호관찰 처분을 받을 시에만 이루어지던 것을 확대하여 가정폭력범죄로 유죄판결을 선고받은 사람에 대해서도 재범예방에 필요한 수강명령 또는 가정폭력 치료프로그램 이수명령을 병과할 수 있도록 하여 재범 방지가 효과적으로 이루어지도록 하려는 것임.


주요내용

가. 가정폭력범죄에 주거침입·퇴거불응죄 및 불법촬영 등을 추가함(안 제2조제3호).
나. 가정폭력범죄에 대한 응급조치 유형에 현행범 체포를 신설함(안 제5조제1호 신설).
다. 가정폭력범죄를 범한 사람에 대해서도 재범 예방에 필요한 수강명령 또는 가정폭력 치료프로그램의 이수명령을 병과할 수 있도록 함(안 제6조의2 신설).
라. 가정구성원도 임시조치 및 긴급임시조치를 청구할 수 있도록 하고, 그에 따른 조치결과를 피해자 또는 가정구성원에게 즉시 통보하도록 함(안 제8조, 제8조의2 및 제8조의3).
마. 상담조건부 기소유예제를 폐지함(제9조의2 삭제).
바. 피해자보호명령에 피해자 또는 가정구성원에 대한 면접교섭권 행사를 제한하고, 피해자보호명령의 처분기간 및 총 처분기간을 연장함(안 제55조의2 및 제55조의3).
사. 정당한 사유 없이 임시조치 등을 불이행하는 경우 2년 이하의 징역 또는 2천만원 이하의 벌금에 처하도록 하고, 정당한 사유 없이 긴급임시조치를 이행하지 않은 경우 1년 이하의 징역 또는 1천만원 이하의 벌금에 처하도록 함(안 제63조의2 신설)."
3,2020-08-31,"제안이유 및 주요내용

현행법은 입주자등, 입주자대표회의 및 관리주체 등이 경비원 등 근로자에게 업무 이외에 부당한 지시를 하거나 명령을 하여서는 아니된다고 명시하고 있음.
그럼에도 불구하고 최근 한 아파트에서 입주자가 경비원에게 폭언·폭행 및 부당한 지시를 하여 경비원이 유서를 쓰고 극단적인 선택을 하는 사건이 발생함에 따라, 현행법 규정의 실효성이 문제되고 있음.
이에 입주자등, 입주자대표회의 및 관리주체가 경비원 등 근로자의 업무 이외에 부당한 지시 또는 명령을 한 경우에 대한 과태료 규정을 신설하여, 경비원 등 근로자에 대한 근로인권을 보장하려는 것임(안 제65조제6항 등)."
4,2020-08-31,"제안이유 및 주요내용

현행법에서는 근로자가 가족 및 자녀를 단기적으로 긴급하게 돌볼 필요가 있는 경우에 연간 10일의 범위에서 가족돌봄휴가를 사용할 수 있도록 일ㆍ생활균형을 지원하고 있음.
그러나 코로나19 등 감염병의 확산으로 어린이집, 유치원, 초등학교의 휴원ㆍ휴교조치가 장기화됨에 따라 자녀의 가정 돌봄을 위한 휴가 수요가 증가하고 있어 돌봄 공백 장기화에 대한 대응하기에 한계가 있음.
이에 재난 발생으로 인한 보육 및 교육시설, 복지시설 등 휴업과 아동ㆍ장애인 자가격리 등 긴급한 가족돌봄이 필요한 경우 고용노동부 장관은 재난발생지역에 거주하는 근로자의 가족돌봄휴가 기간을 연간 최장 90일 이내에서 대통령령으로 정하는 바에 따라 연장할 수 있도록 하고자 함(제22조의2제5항 신설)."
5,2020-08-20,"제안이유 및 주요내용

최근 코로나바이러스감염증-19의 확산으로 각 대학에서는 원격수업을 진행하고 있는데, 대면수업에 비하여 수업의 질이 낮아지고 학교시설의 이용도 감소하면서 학생들의 등록금 반환 요구가 지속되고 있음.
현재 등록금의 면제ㆍ감액 사유는 교육부령으로 정하고 있으나 감염병 등 재난으로 인하여 수업의 질이 낮아지는 경우는 그 사유에 해당하지 않음. 그러나 등록금은 학생의 학습권과 밀접한 관련을 가지는 만큼, 그 사유에 대하여도 법률에 명시할 필요가 있음.
이에 등록금의 면제ㆍ감액 사유를 법률로 상향하여 규정하면서 재난으로 인하여 수업의 질이 저하된 경우를 면제ㆍ감액 사유에 포함하고, 이 경우 이미 납부한 등록금을 환급받을 수 있도록 함으로써 수업을 제대로 받지 못한 학생들의 학습권을 보호하고자 하는 것임(안 제11조제10항 신설)."
6,2020-08-12,"제안이유 및 주요내용

현행법은 각종 재난으로부터 국토를 보존하고 국민의 생명·신체 및 재산을 보호하기 위하여 국가와 지방자치단체의 의무로서 재난의 예방ㆍ대비ㆍ대응ㆍ복구와 안전문화활동, 그 밖에 재난 및 안전관리에 필요한 사항을 규정하고 있음.
최근 8월 들어서만 열흘째 집중호우가 이어져 사망·실종은 42명, 시설피해 1만4091건, 이재민이 7천명에 육박하는 등 인명과 재산피해가 속출하고 있지만, 댐 방류로 인한 피해규모 및 지원에 대한 내용은 명확히 규정되어 있지 않음.
이에 댐 방류로 인해 발생되는 피해에 대한 복구지원비를 국고보조 등의 지원 대상에 포함함으로써 수재민들에 대한 선제적 구호 및 지원이 이뤄지도록 하고자 함(안 66조제3항)."
7,2020-08-07,"제안이유

‘코로나바이러스감염증-19’로 대부분 대학의 수업이 원격으로 진행되고 있습니다.
그런데 현재 원격수업에 대한 법적 근거가 없습니다. 수업방법, 출석일수 인정, 평가 등에 대한 통일된 기준이 없어 수업현장에서 혼란이 발생합니다.
이에 「재난 및 안전관리 기본법」에 따른 재난으로 교실수업이 어려우면, 방송ㆍ통신ㆍ인터넷 등 원격수업으로 대체할 수 있도록 법률에 명시하고자 합니다. 또한, 원격수업의 수업방법, 출석, 평가 등 필요한 사항은 대통령령으로 정해 교육현장의 혼란을 방지하고자 합니다(안 제22조)."
8,2020-08-07,"제안이유 및 주요내용

현행법은 연간 10일의 범위에서 근로자가 가족의 질병, 사고, 노령 또는 자녀의 양육으로 인하여 긴급하게 그 가족을 돌보기 위한 휴가를 신청하는 경우 가족돌봄휴가를 사용할 수 있도록 규정하고 있음.
그러나 코로나-19 등 감염병의 유행이 장기화되면서 근로자의 자녀가 다니는 교육기관이 휴교·휴원 또는 휴업함에 따라 장기간 정상적으로 등교·등원하지 못하는 등 가족돌봄휴가 사용의 필요성이 높아졌으나, 현행 가족돌봄휴가가 무급이고 10일로 한정되어 자녀돌봄을 위해 사용하기에는 한계가 있다는 의견이 있음.
이에 가족돌봄휴가와 별도로 근로자의 자녀를 돌보기 위하여 연간 15일의 범위(한부모가족의 모 또는 부인 경우 30일)에서 유급 휴가를 사용할 수 있도록 하되, 사업주가 근로자에게 해당 유급휴가 기간 동안 지급하는 인건비의 100분의 50에 상당하는 금액을 국가가 지원할 수 있도록 함으로써 근로자의 일과 가정의 양립을 지원하고 사업주의 인건비 부담을 완화하려는 것임(안 제22조의2제2항 및 제22조의5 신설 등)."
9,2020-08-06,"제안이유 및 주요내용

현행법은 교통약자가 안전하고 편리하게 이동할 수 있도록 이동편의시설을 설치한 교통수단, 여객시설 및 도로(이하 “대상시설”이라 함)에 ‘장애물 없는 생활환경 인증’(이하 “인증”이라 함)을 할 수 있도록 하고 있으나, 대상시설에 대한 인증실적이 저조하여 인증제도의 실효성이 떨어진다는 지적이 있음.
또한, 최근 「장애인ㆍ노인ㆍ임산부 등의 편의증진 보장에 관한 법률」이 개정(2019.12. 3.)되어 건축물 등에 대한 인증 제도에 유효기간 설정ㆍ연장, 사후관리 강화, 예비인증 신청 등의 내용이 추가 반영된 바 있어, 동일한 인증 제도를 규정한 현행법에도 이를 도입할 필요가 있다는 의견이 있음.
이에 국가, 지방자치단체 또는 공공기관 등이 설치하는 대상시설로서 대통령령이 정하는 시설에 대하여 인증을 의무화하는 한편, 인증의 유효기간 설정ㆍ연장, 사후관리 강화, 예비인증 신청 등의 규정을 추가함으로써 인증 제도의 실효성 제고를 통한 교통약자의 이동권 확보에 기여하려는 것임(안 제17조의2제3항 및 제4항, 제17조의4부터 제17조의7까지 및 제33조제1항제1호 신설 등)."
